,mean,std
var_1,32.94216195959985,14.56324036607513
var_2,61.613638324250736,9.689273993312788
var_3,14.69053337080174,0.25195727633947973
var_4,730.2334175173314,33.96967303258239
var_6,71.68842506038433,0.7552966193495763
var_7,22.527657034805014,0.8996514194394761
var_8,25.16170761497084,1.7473388506002927
var_9,28.26078772856202,9.145560113086974
var_10,30.99355762216334,7.127419424995855
var_11,15.805686905154564,2.113833277869251
var_12,19.282534127513582,1.8936563805005093
var_13,25.958667421149425,4.355402273539793
var_14,25.14138357753384,3.38317152852255
var_19,9.278827809401202,0.28157041000765887
var_20,80.07055069652573,3.1360974520131433
var_21,98.89889227755258,5.31990877014204
var_22,2728.3735071352194,1818.436393481333
var_23,81.55927765427316,3.5291974892620526
var_24,1527.314859925191,305.844247841982
var_25,15.13948639807558,2.925371208593752
var_28,8.365613069104926,0.24624521111870284
var_29,161.32292857330967,4.709286715550735
var_30,158.8414052707987,5.365653988003506
var_31,48.955139926333835,10.087267984937185
var_32,99.9472210330934,4.6363619087054255
var_33,3.7790876634941175,0.38786414820498966
var_34,155.52018240944804,3.6740159644927908
var_35,31.46943950675163,6.028522371320739
var_36,0.02452987959017463,0.0028885646007311703
var_38,6.946268820885394,2.829023639755214
var_39,6.074484674706564,3.193076964077511
